No,product_id,name,original_price,discount,sale_price,product_url,image_url
61,post-89902,"3D Brick Wall Sticker Self-adhesive Panel",₨ 700,-26%,₨ 520,https://ebuy.pk/product/3d-brick-wall-sticker/,https://ebuy.pk/wp-content/uploads/3D-Brick-Wall-Sticker-Self-adhesive-Panel-at-best-price-in-Pakistan-247x307.jpg
105,post-92808,"Bathroom Storage Rack with Hairdryer Holder (Wall Mounted)",₨ 900,-44%,₨ 500,https://ebuy.pk/product/bathroom-storage-rack-with-hairdryer-holder/,https://ebuy.pk/wp-content/uploads/Bathroom-Storage-Rack-with-Hairdryer-Holder-Online-Price-In-Pakistan-1-247x307.jpg
124,post-92930,"Car Rear View Mirror Rain-Proof Film Anti Water Anti Fog",₨ 600,-33%,₨ 400,https://ebuy.pk/product/car-rear-view-mirror-rain-proof-film/,https://ebuy.pk/wp-content/uploads/Car-Rear-View-Mirror-Rain-Proof-Film-Online-at-Best-Price-In-Pakistan-247x307.jpg
109,post-93062,"Cable Organizer Wire Holder Self Adhesive",₨ 300,-27%,₨ 220,https://ebuy.pk/product/cable-organizer-wire-holder/,https://ebuy.pk/wp-content/uploads/Cable-Organizer-Wire-Holder-Self-Adhesive-online-at-best-price-in-Pakistan-247x307.jpg
69,post-93901,"Disposable Dastarkhwan Sufra",₨ 600,-33%,₨ 400,https://ebuy.pk/product/disposable-dastarkhwan-sufra/,https://ebuy.pk/wp-content/uploads/Disposable-Dastarkhwan-Sufra-Online-at-Best-Price-In-Pakistan-3-247x307.jpg
123,post-93911,"Kids Magic Glow Pad for Drawing Writing & Creative Art","₨ 1,800",-22%,"₨ 1,400",https://ebuy.pk/product/kids-magic-glow-pad/,https://ebuy.pk/wp-content/uploads/Kids-Magic-Glow-Pad-Online-at-Best-Price-In-Pakistan-247x307.jpg
16,post-94342,"Fitness Push Up Board 9 in 1 Multifunction Muscleboard","₨ 4,000",-18%,"₨ 3,300",https://ebuy.pk/product/fitness-push-up-board/,https://ebuy.pk/wp-content/uploads/Fitness-Push-Up-Board-online-at-best-price-in-Pakistan-247x307.jpg
4,post-94930,"Tinkle Eyebrow Razors Facial Hair Trimmer Shaver",₨ 200,-25%,₨ 150,https://ebuy.pk/product/tinkle-eyebrow-razors/,https://ebuy.pk/wp-content/uploads/Tinkle-Eyebrow-Razors-Shaver-Online-at-Best-Price-In-Pakistan-5-247x307.jpg
68,post-95611,"Electric Water Dispenser Pump USB Rechargeable","₨ 1,800",-33%,"₨ 1,200",https://ebuy.pk/product/electric-water-dispenser-pump/,https://ebuy.pk/wp-content/uploads/Electric-Water-Dispenser-Pump-online-at-best-price-in-Pakistan-3-247x307.jpg
3,post-97965,"Kemei 4 in 1 Shaver Women’s Trimmer for Face, Nose, Eyebrow, Body","₨ 4,800",-21%,"₨ 3,800",https://ebuy.pk/product/kemei-4-in-1-shaver/,https://ebuy.pk/wp-content/uploads/Kemei-4-in-1-Shaver-Womens-Trimmer-for-Face-Nose-Eyebrow-Body-Online-In-Pakistan-2-247x307.jpg
112,post-9931,"Nova Hair Straightener","₨ 3,000",-27%,"₨ 2,200",https://ebuy.pk/product/nova-hair-straightener/,https://ebuy.pk/wp-content/uploads/Nova-Hair-Straightener-At-Best-Price-in-Pakistan-2-247x307.jpg
